kb_id,category,intent,title,problem,symptoms,resolution_steps,additional_information,escalation_condition,search_text
KB099,Transfers,failed_transfer,Transfer failed,A transfer failed before it could be completed.,Transfer failed; transfer did not complete; transfer shows a failed status.,"1. Check the transfer status and transaction details.
2. Verify the recipient and transfer information.
3. Retry the transfer if the details are correct and retrying is allowed.
4. Contact support if the transfer continues to fail.",A failed transfer may require review when the failure reason is not available or repeated attempts fail.,Escalate repeated transfer failures or cases where the customer cannot determine why the transfer failed.,"Transfer failed
A transfer failed before it could be completed.
Transfer failed; transfer did not complete; transfer shows a failed status.
1. Check the transfer status and transaction details.
2. Verify the recipient and transfer information.
3. Retry the transfer if the details are correct and retrying is allowed.
4. Contact support if the transfer continues to fail.
A failed transfer may require review when the failure reason is not available or repeated attempts fail.
Escalate repeated transfer failures or cases where the customer cannot determine why the transfer failed."
KB100,Transfers,pending_transfer,Transfer is pending,A transfer remains pending and has not completed yet.,Transfer pending; transfer is still processing; transfer has not completed.,"1. Check the transfer status and transaction details.
2. Confirm that the recipient and transfer information are correct.
3. Allow the normal processing time for the transfer.
4. Contact support if the transfer remains pending beyond the expected processing period.",Transfer processing times vary depending on the transfer method and destination.,Escalate if the transfer remains pending beyond the expected processing period or requires manual investigation.,"Transfer is pending
A transfer remains pending and has not completed yet.
Transfer pending; transfer is still processing; transfer has not completed.
1. Check the transfer status and transaction details.
2. Confirm that the recipient and transfer information are correct.
3. Allow the normal processing time for the transfer.
4. Contact support if the transfer remains pending beyond the expected processing period.
Transfer processing times vary depending on the transfer method and destination.
Escalate if the transfer remains pending beyond the expected processing period or requires manual investigation."
KB101,Transfers,receiving_money,How to receive money,A customer wants to know how another person can send money to their account.,How can someone send money to me; how do I receive money; someone wants to transfer money to me; receiving a transfer.,"1. Identify the supported method for receiving money.
2. Provide the sender with the required recipient details.
3. Ask the sender to verify the recipient details before sending.
4. Check the incoming transfer status if the expected money does not arrive.",Receiving money is different from sending a transfer. The required recipient information depends on the supported receiving method.,Escalate if an expected incoming transfer cannot be located or the customer cannot receive money using a supported method.,"How to receive money
A customer wants to know how another person can send money to their account.
How can someone send money to me; how do I receive money; someone wants to transfer money to me; receiving a transfer.
1. Identify the supported method for receiving money.
2. Provide the sender with the required recipient details.
3. Ask the sender to verify the recipient details before sending.
4. Check the incoming transfer status if the expected money does not arrive.
Receiving money is different from sending a transfer. The required recipient information depends on the supported receiving method.
Escalate if an expected incoming transfer cannot be located or the customer cannot receive money using a supported method."
KB102,Transfers,supported_transfer_countries,Countries supported for transfers,A customer wants to know whether transfers are supported to or from a particular country.,Which countries support transfers; can I transfer money to another country; is this country supported for transfers; international transfer availability.,"1. Identify the destination or source country.
2. Check whether transfers involving that country are supported.
3. Confirm the applicable transfer method and requirements.
4. Do not initiate the transfer if the destination is unsupported.","Country availability is a transfer-support question and may depend on the destination, source, and transfer method.",Escalate if support for the requested country cannot be confirmed or the customer requires review for a restricted destination.,"Countries supported for transfers
A customer wants to know whether transfers are supported to or from a particular country.
Which countries support transfers; can I transfer money to another country; is this country supported for transfers; international transfer availability.
1. Identify the destination or source country.
2. Check whether transfers involving that country are supported.
3. Confirm the applicable transfer method and requirements.
4. Do not initiate the transfer if the destination is unsupported.
Country availability is a transfer-support question and may depend on the destination, source, and transfer method.
Escalate if support for the requested country cannot be confirmed or the customer requires review for a restricted destination."
KB103,Transfers,transfer_fee_charged,Transfer fee charged,A customer was charged a fee for a transfer.,Transfer fee; unexpected transfer charge; customer sees an additional fee associated with a transfer.,"1. Check the transfer transaction details.
2. Identify the fee shown for the transfer.
3. Review the applicable fee information for that transfer method.
4. Contact support if the fee appears incorrect or unexpected.",Transfer fees can depend on the transfer method and transaction.,Escalate disputed or apparently incorrect transfer fees.,"Transfer fee charged
A customer was charged a fee for a transfer.
Transfer fee; unexpected transfer charge; customer sees an additional fee associated with a transfer.
1. Check the transfer transaction details.
2. Identify the fee shown for the transfer.
3. Review the applicable fee information for that transfer method.
4. Contact support if the fee appears incorrect or unexpected.
Transfer fees can depend on the transfer method and transaction.
Escalate disputed or apparently incorrect transfer fees."
KB104,Transfers,transfer_not_received_by_recipient,Recipient has not received the transfer,"A transfer was sent successfully, but the recipient has not received the funds.",Recipient has not received money; transfer appears completed but recipient cannot see the funds.,"1. Check the transfer status and transaction details.
2. Confirm the recipient information is correct.
3. Allow the expected processing time for the transfer method.
4. Contact support if the transfer is completed but the recipient still has not received the funds.",Delivery time can depend on the transfer method and recipient bank or destination.,Escalate when a transfer is confirmed completed but the recipient has not received the funds after the expected processing period.,"Recipient has not received the transfer
A transfer was sent successfully, but the recipient has not received the funds.
Recipient has not received money; transfer appears completed but recipient cannot see the funds.
1. Check the transfer status and transaction details.
2. Confirm the recipient information is correct.
3. Allow the expected processing time for the transfer method.
4. Contact support if the transfer is completed but the recipient still has not received the funds.
Delivery time can depend on the transfer method and recipient bank or destination.
Escalate when a transfer is confirmed completed but the recipient has not received the funds after the expected processing period."
KB105,Transfers,transfer_timing,How long a transfer normally takes,A customer is asking about the normal time required for a transfer to arrive or complete.,How long does a transfer take; how quickly will a transfer arrive; normal transfer time; expected transfer duration; when should a transfer arrive.,"1. Identify the transfer method and destination.
2. Check the expected processing time for that transfer type.
3. Explain that the normal transfer time can vary by method and destination.
4. If the customer is asking about a specific delayed transfer, check its current status instead.",This article covers general transfer timing questions. A specific transfer that is already showing as pending should be handled as a pending transfer.,Escalate if a specific transfer has exceeded its expected processing time and requires investigation.,"How long a transfer normally takes
A customer is asking about the normal time required for a transfer to arrive or complete.
How long does a transfer take; how quickly will a transfer arrive; normal transfer time; expected transfer duration; when should a transfer arrive.
1. Identify the transfer method and destination.
2. Check the expected processing time for that transfer type.
3. Explain that the normal transfer time can vary by method and destination.
4. If the customer is asking about a specific delayed transfer, check its current status instead.
This article covers general transfer timing questions. A specific transfer that is already showing as pending should be handled as a pending transfer.
Escalate if a specific transfer has exceeded its expected processing time and requires investigation."
KB106,Top Up,automatic_top_up,Automatic top up,A customer wants to automatically add money to their account.,How do I enable automatic top up; where is auto top up; automatic top up limits.,"1. Open the available top up settings.
2. Look for the automatic top up option.
3. Configure the required amount or trigger if available.
4. Review the configured limits before enabling automatic top up.",Automatic top up availability and limits depend on the account and supported top up configuration.,Escalate if the automatic top up option is unavailable when the customer expects it to be supported or configuration cannot be completed.,"Automatic top up
A customer wants to automatically add money to their account.
How do I enable automatic top up; where is auto top up; automatic top up limits.
1. Open the available top up settings.
2. Look for the automatic top up option.
3. Configure the required amount or trigger if available.
4. Review the configured limits before enabling automatic top up.
Automatic top up availability and limits depend on the account and supported top up configuration.
Escalate if the automatic top up option is unavailable when the customer expects it to be supported or configuration cannot be completed."
KB107,Cash and Cheque,balance_not_updated_after_cheque_or_cash_deposit,Cash or cheque deposit not reflected in balance,A cash or cheque deposit has been made but the account balance has not been updated.,Cash deposit missing; cheque deposit pending; deposited cash not showing in balance; cheque has not updated the account.,"1. Confirm the deposit details and amount.
2. Check whether the deposit has been processed.
3. Allow the normal processing time for the deposit method.
4. Contact support if the deposit remains missing after the expected processing period.",Cash and cheque deposits may require processing before the balance is updated.,Escalate if a confirmed cash or cheque deposit is still missing after the expected processing period.,"Cash or cheque deposit not reflected in balance
A cash or cheque deposit has been made but the account balance has not been updated.
Cash deposit missing; cheque deposit pending; deposited cash not showing in balance; cheque has not updated the account.
1. Confirm the deposit details and amount.
2. Check whether the deposit has been processed.
3. Allow the normal processing time for the deposit method.
4. Contact support if the deposit remains missing after the expected processing period.
Cash and cheque deposits may require processing before the balance is updated.
Escalate if a confirmed cash or cheque deposit is still missing after the expected processing period."
KB108,Cash Withdrawal,cash_withdrawal_charge,Cash withdrawal fee,A customer was charged a fee when withdrawing cash.,ATM fee; cash withdrawal charge; extra fee for withdrawing money.,"1. Check the cash withdrawal transaction details.
2. Identify the fee associated with the withdrawal.
3. Review the applicable withdrawal fee information.
4. Contact support if the fee appears incorrect or unexpected.","Cash withdrawal fees can depend on the withdrawal method, ATM, location, or applicable account conditions.",Escalate disputed or apparently incorrect cash withdrawal fees.,"Cash withdrawal fee
A customer was charged a fee when withdrawing cash.
ATM fee; cash withdrawal charge; extra fee for withdrawing money.
1. Check the cash withdrawal transaction details.
2. Identify the fee associated with the withdrawal.
3. Review the applicable withdrawal fee information.
4. Contact support if the fee appears incorrect or unexpected.
Cash withdrawal fees can depend on the withdrawal method, ATM, location, or applicable account conditions.
Escalate disputed or apparently incorrect cash withdrawal fees."
KB109,Cash Withdrawal,cash_withdrawal_not_recognised,Unrecognised cash withdrawal,A customer sees a cash withdrawal they did not make.,Unknown ATM withdrawal; cash withdrawal not recognised; someone withdrew cash using the account.,"1. Check the transaction details and withdrawal amount.
2. Confirm whether the customer recognises the ATM transaction.
3. Secure the account or card if unauthorised activity is suspected.
4. Contact support immediately to report the unrecognised withdrawal.",An unrecognised cash withdrawal may indicate unauthorised account or card activity.,Escalate all reported unauthorised or unrecognised cash withdrawals for investigation.,"Unrecognised cash withdrawal
A customer sees a cash withdrawal they did not make.
Unknown ATM withdrawal; cash withdrawal not recognised; someone withdrew cash using the account.
1. Check the transaction details and withdrawal amount.
2. Confirm whether the customer recognises the ATM transaction.
3. Secure the account or card if unauthorised activity is suspected.
4. Contact support immediately to report the unrecognised withdrawal.
An unrecognised cash withdrawal may indicate unauthorised account or card activity.
Escalate all reported unauthorised or unrecognised cash withdrawals for investigation."
KB110,Cash Withdrawal,declined_cash_withdrawal,Cash withdrawal declined,A customer attempted to withdraw cash but the ATM declined the transaction.,ATM withdrawal declined; cannot withdraw cash; cash withdrawal rejected.,"1. Check the withdrawal details and available balance.
2. Confirm that the card can be used for cash withdrawal.
3. Try another supported ATM if appropriate.
4. Contact support if cash withdrawals continue to be declined.","Cash withdrawals can be declined for different account, card, ATM, or transaction reasons.",Escalate repeated cash withdrawal declines when the customer cannot resolve the issue through normal checks.,"Cash withdrawal declined
A customer attempted to withdraw cash but the ATM declined the transaction.
ATM withdrawal declined; cannot withdraw cash; cash withdrawal rejected.
1. Check the withdrawal details and available balance.
2. Confirm that the card can be used for cash withdrawal.
3. Try another supported ATM if appropriate.
4. Contact support if cash withdrawals continue to be declined.
Cash withdrawals can be declined for different account, card, ATM, or transaction reasons.
Escalate repeated cash withdrawal declines when the customer cannot resolve the issue through normal checks."
KB111,Cash Withdrawal,pending_cash_withdrawal,Cash withdrawal is pending,A cash withdrawal is still showing as pending.,ATM withdrawal pending; cash withdrawal still processing; pending cash transaction.,"1. Check the withdrawal transaction status.
2. Confirm the withdrawal amount and ATM transaction details.
3. Allow the normal processing time for the transaction.
4. Contact support if the withdrawal remains pending beyond the expected period.",A cash withdrawal can temporarily remain pending while the transaction is being processed.,Escalate if the cash withdrawal remains pending beyond the expected processing period or requires transaction investigation.,"Cash withdrawal is pending
A cash withdrawal is still showing as pending.
ATM withdrawal pending; cash withdrawal still processing; pending cash transaction.
1. Check the withdrawal transaction status.
2. Confirm the withdrawal amount and ATM transaction details.
3. Allow the normal processing time for the transaction.
4. Contact support if the withdrawal remains pending beyond the expected period.
A cash withdrawal can temporarily remain pending while the transaction is being processed.
Escalate if the cash withdrawal remains pending beyond the expected processing period or requires transaction investigation."
KB112,Top Up,pending_top_up,Top up is pending,A top up has been initiated but is still showing as pending.,Top up pending; top up still processing; money added but balance not updated.,"1. Check the top up transaction status.
2. Confirm the top up amount and method.
3. Allow the normal processing time for the top up.
4. Contact support if the top up remains pending beyond the expected period.",A top up may remain pending while the payment or funding method is being processed.,Escalate if a top up remains pending beyond the expected processing period or requires transaction investigation.,"Top up is pending
A top up has been initiated but is still showing as pending.
Top up pending; top up still processing; money added but balance not updated.
1. Check the top up transaction status.
2. Confirm the top up amount and method.
3. Allow the normal processing time for the top up.
4. Contact support if the top up remains pending beyond the expected period.
A top up may remain pending while the payment or funding method is being processed.
Escalate if a top up remains pending beyond the expected processing period or requires transaction investigation."
KB113,Top Up,top_up_by_bank_transfer_charge,Fee for topping up by bank transfer,A customer wants to know whether a fee applies when adding money by bank transfer.,Bank transfer top up fee; SEPA transfer charge; fee for adding money by transfer.,"1. Identify the bank transfer method being used.
2. Check the applicable fee information.
3. Confirm any charges before initiating the transfer.
4. Contact support if a charge appears inconsistent with the applicable fee information.",Charges can depend on the bank transfer method and transaction.,Escalate disputed or apparently incorrect bank transfer top up charges.,"Fee for topping up by bank transfer
A customer wants to know whether a fee applies when adding money by bank transfer.
Bank transfer top up fee; SEPA transfer charge; fee for adding money by transfer.
1. Identify the bank transfer method being used.
2. Check the applicable fee information.
3. Confirm any charges before initiating the transfer.
4. Contact support if a charge appears inconsistent with the applicable fee information.
Charges can depend on the bank transfer method and transaction.
Escalate disputed or apparently incorrect bank transfer top up charges."
KB114,Top Up,top_up_by_card_charge,Fee for topping up by card,A customer wants to know whether a fee applies when topping up using a card.,Card top up fee; charge for topping up by card; top up card charges.,"1. Identify the card and top up method.
2. Check the applicable card top up fee information.
3. Review any charge before completing the top up.
4. Contact support if the applied fee appears incorrect.","Card top up charges can depend on the card, location, or supported top up method.",Escalate disputed or apparently incorrect card top up charges.,"Fee for topping up by card
A customer wants to know whether a fee applies when topping up using a card.
Card top up fee; charge for topping up by card; top up card charges.
1. Identify the card and top up method.
2. Check the applicable card top up fee information.
3. Review any charge before completing the top up.
4. Contact support if the applied fee appears incorrect.
Card top up charges can depend on the card, location, or supported top up method.
Escalate disputed or apparently incorrect card top up charges."
KB115,Top Up,top_up_by_cash_or_cheque,Top up using cash or cheque,A customer wants to add money using cash or a cheque.,Top up with cash; top up with cheque; add money using a cheque; cash top up.,"1. Check whether cash or cheque top ups are supported.
2. Review the available supported top up methods.
3. Use a supported method to add money if cash or cheque deposits are unavailable.
4. Contact support if the customer needs clarification about an available deposit method.",Cash and cheque top ups depend on the supported funding methods available for the account.,Escalate if the customer requires confirmation of a specific unsupported or unavailable cash or cheque deposit method.,"Top up using cash or cheque
A customer wants to add money using cash or a cheque.
Top up with cash; top up with cheque; add money using a cheque; cash top up.
1. Check whether cash or cheque top ups are supported.
2. Review the available supported top up methods.
3. Use a supported method to add money if cash or cheque deposits are unavailable.
4. Contact support if the customer needs clarification about an available deposit method.
Cash and cheque top ups depend on the supported funding methods available for the account.
Escalate if the customer requires confirmation of a specific unsupported or unavailable cash or cheque deposit method."
KB116,Top Up,top_up_failed,Top up failed,A customer attempted a top up but it failed or was rejected.,Top up failed; top up rejected; top up not working; top up did not go through.,"1. Check the top up status and transaction details.
2. Verify the selected top up method and entered information.
3. Retry the top up if the details are correct and retrying is available.
4. Contact support if the top up continues to fail.",A failed top up may require investigation when the failure reason is unclear or repeated attempts fail.,Escalate repeated top up failures or cases where the failure reason cannot be resolved.,"Top up failed
A customer attempted a top up but it failed or was rejected.
Top up failed; top up rejected; top up not working; top up did not go through.
1. Check the top up status and transaction details.
2. Verify the selected top up method and entered information.
3. Retry the top up if the details are correct and retrying is available.
4. Contact support if the top up continues to fail.
A failed top up may require investigation when the failure reason is unclear or repeated attempts fail.
Escalate repeated top up failures or cases where the failure reason cannot be resolved."
KB117,Top Up,top_up_limits,Top up limits,A customer wants to know the maximum amount they can add through top up.,Maximum top up amount; top up limit; how much can I top up; increase top up limit.,"1. Check the applicable top up limits.
2. Confirm the relevant top up method and account conditions.
3. Ensure the requested amount is within the applicable limit.
4. Contact support if the displayed limit appears incorrect.",Top up limits can vary depending on the top up method and account conditions.,Escalate if the customer cannot determine the applicable limit or a displayed limit appears incorrect.,"Top up limits
A customer wants to know the maximum amount they can add through top up.
Maximum top up amount; top up limit; how much can I top up; increase top up limit.
1. Check the applicable top up limits.
2. Confirm the relevant top up method and account conditions.
3. Ensure the requested amount is within the applicable limit.
4. Contact support if the displayed limit appears incorrect.
Top up limits can vary depending on the top up method and account conditions.
Escalate if the customer cannot determine the applicable limit or a displayed limit appears incorrect."
KB118,Top Up,top_up_reverted,Top up was reverted,A completed or visible top up was later reversed or removed.,Top up reverted; top up cancelled; money disappeared after top up; completed top up was reversed.,"1. Check the top up transaction status and history.
2. Confirm the original top up amount and method.
3. Check whether the transaction was reversed or cancelled.
4. Contact support if the reversal is unexpected or the funds are missing.",A top up may be reverted after initially appearing successful.,Escalate unexpected top up reversals or cases where the funds have not been returned correctly.,"Top up was reverted
A completed or visible top up was later reversed or removed.
Top up reverted; top up cancelled; money disappeared after top up; completed top up was reversed.
1. Check the top up transaction status and history.
2. Confirm the original top up amount and method.
3. Check whether the transaction was reversed or cancelled.
4. Contact support if the reversal is unexpected or the funds are missing.
A top up may be reverted after initially appearing successful.
Escalate unexpected top up reversals or cases where the funds have not been returned correctly."
KB119,Top Up,topping_up_by_card,How to top up by card,A customer wants to add money using a payment card.,How do I top up with a card; add money using a credit or debit card; card top up.,"1. Open the top up option.
2. Select the supported card top up method.
3. Enter the required card and top up information.
4. Confirm the top up and check the transaction status.",Card top ups require a supported card and may be subject to applicable limits or verification.,Escalate if a supported card cannot be used for top up or the top up cannot be completed after verification.,"How to top up by card
A customer wants to add money using a payment card.
How do I top up with a card; add money using a credit or debit card; card top up.
1. Open the top up option.
2. Select the supported card top up method.
3. Enter the required card and top up information.
4. Confirm the top up and check the transaction status.
Card top ups require a supported card and may be subject to applicable limits or verification.
Escalate if a supported card cannot be used for top up or the top up cannot be completed after verification."
KB120,Top Up,verify_top_up,Verify a top up,A customer needs to verify a top up or asks about the verification code.,Top up verification; verification code for top up; verify top up card.,"1. Check whether verification is requested for the top up.
2. Follow the verification process shown for the transaction.
3. Enter the required verification code when prompted.
4. Contact support if the verification code is unavailable or does not work.",Some top ups may require an additional verification step.,Escalate if the required top up verification cannot be completed or the verification code is not accepted.,"Verify a top up
A customer needs to verify a top up or asks about the verification code.
Top up verification; verification code for top up; verify top up card.
1. Check whether verification is requested for the top up.
2. Follow the verification process shown for the transaction.
3. Enter the required verification code when prompted.
4. Contact support if the verification code is unavailable or does not work.
Some top ups may require an additional verification step.
Escalate if the required top up verification cannot be completed or the verification code is not accepted."
KB121,Cash Withdrawal,wrong_amount_of_cash_received,Incorrect cash amount received,A customer received a different amount of cash from the amount requested at an ATM.,ATM gave less cash; wrong cash amount; partial cash withdrawal; cash received differs from requested amount.,"1. Check the ATM transaction amount.
2. Confirm the amount requested and the physical cash received.
3. Keep the transaction details and any ATM receipt.
4. Contact support to report the cash amount discrepancy.",The cash received can differ from the requested amount and may require transaction investigation.,Escalate all reported discrepancies between the requested and received cash amounts.,"Incorrect cash amount received
A customer received a different amount of cash from the amount requested at an ATM.
ATM gave less cash; wrong cash amount; partial cash withdrawal; cash received differs from requested amount.
1. Check the ATM transaction amount.
2. Confirm the amount requested and the physical cash received.
3. Keep the transaction details and any ATM receipt.
4. Contact support to report the cash amount discrepancy.
The cash received can differ from the requested amount and may require transaction investigation.
Escalate all reported discrepancies between the requested and received cash amounts."
KB122,Cash Withdrawal,wrong_exchange_rate_for_cash_withdrawal,Wrong exchange rate for cash withdrawal,A customer believes the exchange rate applied to a cash withdrawal was incorrect.,Wrong ATM exchange rate; incorrect exchange rate for cash withdrawal; received less because of exchange rate.,"1. Check the cash withdrawal transaction details.
2. Confirm the withdrawal currency and account currency.
3. Review the exchange rate applied to the transaction.
4. Contact support if the applied exchange rate appears incorrect.",Exchange rates can affect the final account amount when withdrawing cash in another currency.,Escalate disputed or apparently incorrect exchange rates applied to cash withdrawals.,"Wrong exchange rate for cash withdrawal
A customer believes the exchange rate applied to a cash withdrawal was incorrect.
Wrong ATM exchange rate; incorrect exchange rate for cash withdrawal; received less because of exchange rate.
1. Check the cash withdrawal transaction details.
2. Confirm the withdrawal currency and account currency.
3. Review the exchange rate applied to the transaction.
4. Contact support if the applied exchange rate appears incorrect.
Exchange rates can affect the final account amount when withdrawing cash in another currency.
Escalate disputed or apparently incorrect exchange rates applied to cash withdrawals."
KB123,Card Payments,Refund_not_showing_up,Refund has not arrived,A customer is waiting for a card payment refund that has not appeared in their account.,Refund missing; refund has not arrived; waiting for a refund; refunded payment not showing.,"1. Check the original payment and refund details.
2. Confirm that the refund was actually issued.
3. Allow the expected processing time for the refund to appear.
4. Contact support if the refund remains missing after the expected period.",A refund may take time to appear after it has been issued.,Escalate if a confirmed refund has not appeared after the expected processing period.,"Refund has not arrived
A customer is waiting for a card payment refund that has not appeared in their account.
Refund missing; refund has not arrived; waiting for a refund; refunded payment not showing.
1. Check the original payment and refund details.
2. Confirm that the refund was actually issued.
3. Allow the expected processing time for the refund to appear.
4. Contact support if the refund remains missing after the expected period.
A refund may take time to appear after it has been issued.
Escalate if a confirmed refund has not appeared after the expected processing period."
KB124,Card Payments,declined_card_payment,Card payment was declined,A customer attempted to make a card payment but the payment was declined.,Card payment declined; card payment rejected; payment did not go through.,"1. Check the payment status and available transaction information.
2. Confirm that the card is active and can be used for payments.
3. Check the available balance and payment details.
4. Retry the payment if appropriate or use another supported payment method.","Card payments can be declined for different card, balance, merchant, or transaction reasons.",Escalate repeated unexplained card payment declines or cases requiring transaction investigation.,"Card payment was declined
A customer attempted to make a card payment but the payment was declined.
Card payment declined; card payment rejected; payment did not go through.
1. Check the payment status and available transaction information.
2. Confirm that the card is active and can be used for payments.
3. Check the available balance and payment details.
4. Retry the payment if appropriate or use another supported payment method.
Card payments can be declined for different card, balance, merchant, or transaction reasons.
Escalate repeated unexplained card payment declines or cases requiring transaction investigation."
KB125,Card Payments,extra_charge_on_statement,Extra charge on statement,A customer sees an additional or unexpected charge on their account statement.,Extra charge; unexpected charge; additional amount on statement; charged more than expected.,"1. Check the transaction details and charged amount.
2. Compare the charge with the original purchase or transaction.
3. Check whether the additional amount is an applicable fee or adjustment.
4. Contact support if the charge cannot be explained.","An additional statement amount may represent a fee, adjustment, or other transaction-related charge.",Escalate disputed or unexplained charges after the transaction details have been reviewed.,"Extra charge on statement
A customer sees an additional or unexpected charge on their account statement.
Extra charge; unexpected charge; additional amount on statement; charged more than expected.
1. Check the transaction details and charged amount.
2. Compare the charge with the original purchase or transaction.
3. Check whether the additional amount is an applicable fee or adjustment.
4. Contact support if the charge cannot be explained.
An additional statement amount may represent a fee, adjustment, or other transaction-related charge.
Escalate disputed or unexplained charges after the transaction details have been reviewed."
KB126,Card Payments,pending_card_payment,Card payment is pending,A card payment is still showing as pending.,Card payment pending; payment still processing; card transaction has not completed.,"1. Check the payment transaction status.
2. Confirm the merchant and payment amount.
3. Allow the normal processing time for the card payment.
4. Contact support if the payment remains pending beyond the expected period.",A card payment can remain pending while the merchant or payment network completes processing.,Escalate if the card payment remains pending beyond the expected processing period or requires transaction investigation.,"Card payment is pending
A card payment is still showing as pending.
Card payment pending; payment still processing; card transaction has not completed.
1. Check the payment transaction status.
2. Confirm the merchant and payment amount.
3. Allow the normal processing time for the card payment.
4. Contact support if the payment remains pending beyond the expected period.
A card payment can remain pending while the merchant or payment network completes processing.
Escalate if the card payment remains pending beyond the expected processing period or requires transaction investigation."
KB127,Card Payments,request_refund,Request a card payment refund,A customer wants to request a refund for a card payment.,I want a refund; request refund; get my money back from a card purchase; refund a card payment.,"1. Identify the card payment and merchant.
2. Check whether the transaction is eligible for a refund.
3. Follow the applicable refund process.
4. Contact support if the refund cannot be requested through the available process.",Refund availability can depend on the transaction and applicable merchant or support process.,Escalate disputed refund requests or cases where a refund cannot be requested through the normal process.,"Request a card payment refund
A customer wants to request a refund for a card payment.
I want a refund; request refund; get my money back from a card purchase; refund a card payment.
1. Identify the card payment and merchant.
2. Check whether the transaction is eligible for a refund.
3. Follow the applicable refund process.
4. Contact support if the refund cannot be requested through the available process.
Refund availability can depend on the transaction and applicable merchant or support process.
Escalate disputed refund requests or cases where a refund cannot be requested through the normal process."
KB128,Card Payments,reverted_card_payment?,Card payment was reverted,A card payment was reversed or returned after initially appearing as completed or authorised.,Card payment reverted; payment reversed; payment returned; card payment disappeared or was reversed.,"1. Check the card payment transaction status and history.
2. Confirm the original payment amount and merchant.
3. Check whether the payment was reversed or reverted.
4. Contact support if the reversal is unexpected or the transaction remains incorrect.",A card payment can be reverted after initially appearing as authorised or completed.,Escalate unexpected payment reversals or cases where the transaction outcome remains unclear.,"Card payment was reverted
A card payment was reversed or returned after initially appearing as completed or authorised.
Card payment reverted; payment reversed; payment returned; card payment disappeared or was reversed.
1. Check the card payment transaction status and history.
2. Confirm the original payment amount and merchant.
3. Check whether the payment was reversed or reverted.
4. Contact support if the reversal is unexpected or the transaction remains incorrect.
A card payment can be reverted after initially appearing as authorised or completed.
Escalate unexpected payment reversals or cases where the transaction outcome remains unclear."
KB129,Card Payments,transaction_charged_twice,Transaction charged twice,A customer believes the same transaction was charged more than once.,Charged twice; duplicate transaction; same payment appears twice; duplicate card charge.,"1. Compare the duplicated transactions and their amounts.
2. Check whether both transactions are completed or whether one is still pending.
3. Allow temporary duplicate authorisations to resolve when applicable.
4. Contact support if both charges remain completed and appear duplicated.",Two similar card transactions can sometimes include a temporary authorisation and a completed payment.,Escalate when duplicate completed charges remain after the normal processing period.,"Transaction charged twice
A customer believes the same transaction was charged more than once.
Charged twice; duplicate transaction; same payment appears twice; duplicate card charge.
1. Compare the duplicated transactions and their amounts.
2. Check whether both transactions are completed or whether one is still pending.
3. Allow temporary duplicate authorisations to resolve when applicable.
4. Contact support if both charges remain completed and appear duplicated.
Two similar card transactions can sometimes include a temporary authorisation and a completed payment.
Escalate when duplicate completed charges remain after the normal processing period."
KB130,Direct Debit,direct_debit_payment_not_recognised,Unrecognised direct debit payment,A customer sees a direct debit payment they do not recognise.,Unknown direct debit; unrecognised direct debit payment; direct debit I did not authorise.,"1. Check the direct debit transaction details.
2. Confirm the merchant or organisation associated with the payment.
3. Report the payment if the customer does not recognise or authorise it.
4. Contact support for investigation of the unrecognised direct debit.",An unrecognised direct debit may require investigation to determine its origin and authorisation.,Escalate all reported unauthorised or unrecognised direct debit payments.,"Unrecognised direct debit payment
A customer sees a direct debit payment they do not recognise.
Unknown direct debit; unrecognised direct debit payment; direct debit I did not authorise.
1. Check the direct debit transaction details.
2. Confirm the merchant or organisation associated with the payment.
3. Report the payment if the customer does not recognise or authorise it.
4. Contact support for investigation of the unrecognised direct debit.
An unrecognised direct debit may require investigation to determine its origin and authorisation.
Escalate all reported unauthorised or unrecognised direct debit payments."
KB131,Account Management,age_limit,Age requirements,A customer wants to know the minimum age required to use the service.,Minimum age; age requirement; how old do I need to be; age limit.,"1. Check the applicable age requirement.
2. Confirm that the customer's age meets the requirement.
3. If the customer does not meet the requirement, explain that the account cannot be opened or used under the applicable rules.",Age requirements depend on the service and applicable account rules.,Escalate if the customer's eligibility cannot be determined from the available age requirements.,"Age requirements
A customer wants to know the minimum age required to use the service.
Minimum age; age requirement; how old do I need to be; age limit.
1. Check the applicable age requirement.
2. Confirm that the customer's age meets the requirement.
3. If the customer does not meet the requirement, explain that the account cannot be opened or used under the applicable rules.
Age requirements depend on the service and applicable account rules.
Escalate if the customer's eligibility cannot be determined from the available age requirements."
KB132,Account Management,edit_personal_details,Edit personal details,A customer wants to change their personal account information.,Change personal details; edit account information; update personal information; change profile details.,"1. Open the account or personal information settings.
2. Select the detail that needs to be changed.
3. Enter the updated information.
4. Complete any verification required to save the change.",Some personal information changes may require additional verification.,Escalate if the customer cannot update their personal details through the available account settings or verification fails.,"Edit personal details
A customer wants to change their personal account information.
Change personal details; edit account information; update personal information; change profile details.
1. Open the account or personal information settings.
2. Select the detail that needs to be changed.
3. Enter the updated information.
4. Complete any verification required to save the change.
Some personal information changes may require additional verification.
Escalate if the customer cannot update their personal details through the available account settings or verification fails."
